dv,P1,P2,P3
0,2.256109952786773,2.256109952786773,2.256109952786773
1,0.6077370328332488,1.6077370328332488,3.2154740656664975
2,0.2714825535423615,2.2714825535423615,4.542965107084723
3,0.102671994053388,3.102671994053388,6.205343988106776
4,0.028837718454762573,4.028837718454763,8.057675436909525
5,0.006559004199389484,5.0065590041993895,10.013118008398779
