v0,P1,P2,P3
-3,-2.059293188551869,-1.059293188551869,0.8814136228962619
-2,-1.190022946387284,-0.19002294638728412,1.6199541072254318
-1,-0.29821053866513747,0.7017894613348625,2.403578922669725
0,0.6077370328332488,1.6077370328332488,3.2154740656664975
1,1.5213241316134538,2.521324131613454,4.042648263226908
2,2.442573770817204,3.442573770817204,4.885147541634408
3,3.3715343590546323,4.371534359054632,5.743068718109265
