n,P1,P2,P3,P4
5,0.17906535412779911,1.1790653541277991,2.179065354127799,3.3581307082555982
10,0.33012496787823986,1.3301249678782399,2.33012496787824,3.6602499357564797
15,0.44107639207255867,1.4410763920725587,2.4410763920725587,3.8821527841451173
20,0.530000113493744,1.530000113493744,2.530000113493744,4.060000226987488
25,0.6127602898064515,1.6127602898064515,2.6127602898064515,4.225520579612903
